pair,role,ticker,fy_start,fy_end,size_pct_growth,neg_ratio_start_pct,neg_ratio_end_pct,neg_ratio_delta_pp,lit_ratio_delta_pp,netneg_delta_pp,redflag_delta
BA vs LMT,failure,BA,2017,2018,3.6,3.78,3.76,-0.02,-0.01,-0.01,0
BA vs LMT,survivor,LMT,2017,2018,9.7,3.61,3.64,0.02,-0.29,0.17,0
SIVB vs JPM,failure,SIVB,2020,2022,10.2,4.41,4.38,-0.04,-0.04,0.0,0
SIVB vs JPM,survivor,JPM,2020,2022,-4.9,5.48,5.61,0.13,0.04,0.09,0
BBBY vs BBY,failure,BBBY,2019,2022,122.9,2.22,2.95,0.73,-0.11,0.8,7
BBBY vs BBY,survivor,BBY,2019,2022,41.4,4.47,4.28,-0.2,-0.02,-0.09,-1
PTON vs GRMN,failure,PTON,2022,2024,-12.7,4.27,4.47,0.21,0.13,0.18,-1
PTON vs GRMN,survivor,GRMN,2022,2024,-1.5,2.84,2.8,-0.04,0.04,-0.07,0
SI vs JPM,failure,SI,2019,2021,-27.0,2.87,2.86,-0.01,0.01,-0.05,2
SI vs JPM,survivor,JPM,2019,2021,12.7,5.61,5.5,-0.11,0.04,-0.16,0
